880168,0,9230,3864,130,238,204,350,181,266,221,105,473,1327,548,84,296,403,13
880168,1,15711,6595,359,91,239,133,96,316,360,242,405,884,409,176,68,222,119
880168,2,14509,6191,253,98,106,139,45,26,54,36,73,15,50,19,99,72,13
880168,3,10258,4474,252,98,80,146,129,108,109,124,95,141,148,85,33,61,16
880168,4,185,79,23,13,10,7,6,5,4,4,3,3,3,3,2,2,65534
880168,5,697,318,19,17,28,12,8,13,23,20,15,16,13,15,4,7,65535
880168,6,768,321,9,10,5,7,8,26,30,21,4,6,5,7,8,1,0
880168,7,16945,7411,308,447,778,735,262,307,340,471,633,509,563,912,300,126,180
882759,0,14317,8895,4724,4461,4197,3851,3513,3186,2774,2602,2053,1170,692,919,571,236,31
882759,1,21563,12217,5378,4970,4270,3482,2984,2357,1438,915,1016,1476,781,615,553,476,338
882759,2,20180,10659,5062,4486,4237,3661,3157,2543,2022,1498,956,572,286,83,182,298,278
882759,3,14127,5899,3084,3235,2910,2584,2388,2050,1669,1283,1099,885,571,343,175,29,65439
882759,4,2393,2206,2178,2089,1975,1841,1691,1527,1353,1175,999,832,675,531,402,291,127
882759,5,1505,732,868,857,834,778,730,685,623,561,507,445,381,329,276,224,65354
882759,6,1226,94,432,404,410,387,379,373,337,321,309,289,259,241,212,187,65421
882759,7,15510,6421,170,212,1078,1495,644,137,432,872,610,209,770,755,547,627,26
885349,0,10669,3358,1099,705,882,699,656,553,280,245,527,1226,916,39,258,330,65503
885349,1,17703,6309,1738,1533,1207,1364,1308,1110,742,763,769,1499,589,171,190,257,65326
885349,2,17432,7121,2508,2707,2488,2270,1937,1838,1562,1249,1093,942,793,592,455,342,65398
885349,3,14696,7630,4500,3924,3606,3209,2828,2554,2172,1909,1638,1276,1029,755,507,363,65401
885349,4,5876,5507,5221,5008,4766,4467,4115,3743,3352,2950,2555,2180,1818,1491,1196,931,28
885349,5,5813,5372,4975,4828,4624,4369,4078,3778,3452,3110,2780,2465,2156,1859,1590,1346,757
885349,6,7955,7223,6945,6647,6339,6014,5417,5123,4446,4095,3510,3055,2655,2113,1857,1391,1207
885349,7,20277,9049,2774,3898,4443,3748,3405,2861,1529,1246,2095,1402,1210,2096,1471,993,673
887990,0,12702,4829,2343,2555,2249,2366,1689,1474,1467,900,1085,525,1042,306,14,174,65386
887990,1,19912,9312,3145,3483,3220,2666,2532,1838,1769,1603,1635,1294,356,581,394,388,165
887990,2,19078,10254,4506,4031,3957,3598,3258,2876,2616,2379,1924,1656,1451,1061,785,461,172
887990,3,15504,9461,4962,4860,4638,4215,3778,3397,3030,2680,2287,1959,1620,1345,1095,833,64993
887990,4,5673,5437,5216,5052,4847,4596,4312,4006,3681,3338,2996,2651,2322,2012,1722,1459,64323
887990,5,5956,5468,5163,5018,4824,4604,4366,4061,3740,3434,3135,2820,2519,2229,1973,1744,64584
887990,6,5013,4347,4123,4000,3827,3648,3429,3160,2902,2627,2351,2047,1777,1524,1276,1047,431
887990,7,19108,7403,2393,2765,3005,1309,2588,1646,1894,1600,767,1169,1343,1827,901,387,309
890593,0,13086,4765,3318,3124,2671,2301,1900,1241,1053,555,515,1414,934,187,409,35,65497
890593,1,21424,9966,4659,4049,3798,3607,3076,2617,2063,1880,1812,1415,120,613,349,217,65401
890593,2,20770,11687,5705,5312,4855,4379,3932,3468,2935,2504,2072,1638,1304,1010,677,422,65332
890593,3,16698,10824,6275,5922,5389,4745,4309,3935,3515,3019,2513,2049,1710,1392,1034,769,117
890593,4,6322,5976,5667,5487,5249,4962,4640,4287,3913,3525,3132,2746,2375,2030,1711,1423,1056
890593,5,4688,4245,3946,3824,3705,3559,3361,3130,2905,2686,2456,2218,1989,1788,1606,1425,984
890593,6,6230,5498,5243,5060,4788,4471,4102,3736,3335,2933,2523,2155,1799,1476,1182,944,69
890593,7,19945,8027,2994,2862,3449,2552,2142,2283,1799,1900,1829,996,1197,372,710,725,160
893186,0,11037,2718,343,1225,1343,469,896,1404,1027,416,1272,705,1012,492,818,485,65458
893186,1,18430,5872,1602,1953,511,2101,1179,967,1418,336,1646,209,267,828,407,542,65238
893186,2,17832,5949,3410,695,2848,891,2501,885,1999,876,1582,819,1224,731,849,652,685
893186,3,13893,5335,3469,2319,2100,2922,903,2710,863,2181,1606,1123,1709,353,1486,415,65358
