idle,28236,1,1,2.63,4215,1800,256,333,319,277,250,221,92,193,239,95,61,66,33,22,34
idle,28236,1,2,4.05,4652,2389,446,144,80,151,112,12,58,63,23,21,39,20,16,18,19
idle,28236,1,3,4.01,4801,1918,471,200,64,137,86,129,54,100,122,22,92,66,33,76,29
idle,28236,1,4,2.30,2562,1025,102,181,71,49,77,26,43,5,7,5,12,6,20,15,20
idle,28236,1,5,3.59,3753,1454,594,491,422,441,149,249,139,44,69,55,30,60,61,46,79
idle,28236,2,0,8.07,2386,1370,331,175,110,66,113,182,70,198,280,252,249,113,73,97,120
idle,28236,2,1,3.29,3745,1492,165,137,658,413,74,144,312,91,202,431,371,154,9,71,54
idle,28236,2,2,3.16,5277,2288,206,284,446,295,49,76,235,173,68,43,133,148,92,30,28
idle,28236,2,3,4.77,232,93,8,7,6,2,3,2,2,2,1,2,1,0,1,1,1
idle,28236,2,4,6.77,3321,1470,182,140,128,109,3,81,156,166,68,58,57,9,37,62,84
idle,28236,2,5,3.04,3621,1535,110,276,503,94,128,269,219,133,185,71,36,68,205,152,64
idle,29611,0,0,2.62,5069,2422,544,1577,1369,260,677,833,151,116,267,124,56,50,50,53,64
idle,29611,0,1,2.48,3966,1875,653,1610,1097,92,692,871,140,112,179,78,147,159,13,47,42
idle,29611,0,2,4.03,468,223,64,38,9,16,12,9,3,6,5,4,4,4,6,5,3
idle,29611,0,3,3.61,228,106,8,2,7,7,3,4,1,2,2,3,2,0,0,1,3
idle,29611,0,4,11.85,1572,717,634,337,97,212,73,68,137,127,99,64,77,122,127,227,146
idle,29611,0,5,11.89,1507,548,424,296,19,139,152,98,95,55,35,79,60,59,86,236,137
idle,29611,1,0,3.81,5129,2173,214,65,263,431,95,147,194,108,89,151,120,87,18,40,8
idle,29611,1,1,2.29,4196,1771,230,324,189,263,284,166,35,146,160,87,92,69,20,40,63
idle,29611,1,2,4.34,4343,2034,143,70,33,42,42,20,21,35,18,12,20,14,10,7,14
idle,29611,1,3,5.58,4353,1819,189,146,96,146,88,160,109,92,127,103,110,83,87,86,61
idle,29611,1,4,2.62,2778,1204,144,168,163,121,75,56,32,17,11,14,16,8,5,12,15
idle,29611,1,5,3.73,3708,1637,595,455,362,494,67,304,234,107,143,66,47,56,19,49,18
idle,29611,2,0,9.58,2319,1172,272,109,54,55,92,146,30,260,195,134,348,238,38,76,137
idle,29611,2,1,3.06,3651,1628,78,494,792,314,57,267,346,92,12,248,111,129,49,71,195
idle,29611,2,2,3.88,5954,2619,61,39,28,92,8,52,42,52,26,21,27,32,21,14,31
idle,29611,2,3,4.56,305,148,34,15,14,15,16,12,10,13,12,11,8,11,10,9,8
idle,29611,2,4,3.37,3452,1452,134,78,147,128,89,144,88,47,49,100,87,64,17,35,55
idle,29611,2,5,3.10,4129,1841,122,234,380,191,85,314,296,71,115,98,46,56,232,142,32
idle,30736,0,0,2.59,4775,2047,150,1235,949,82,654,803,132,120,307,110,62,48,46,37,24
idle,30736,0,1,2.65,3799,1643,113,1107,944,278,558,673,213,316,405,231,78,96,63,25,21
idle,30736,0,2,7.68,519,261,81,56,39,27,16,4,10,15,17,12,9,4,1,4,7
idle,30736,0,3,6.83,71,27,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
idle,30736,0,4,11.88,1704,718,560,484,149,70,33,103,80,39,19,29,84,83,104,314,166
idle,30736,0,5,11.88,1916,996,467,397,186,276,207,189,91,121,104,55,58,66,162,305,206
idle,30736,1,0,3.66,5099,2325,242,113,260,312,26,111,187,35,29,46,112,38,15,38,46
